categoria,ano,emissao_mt
Producao de cal,2020,5.8517
Producao de cimento,2020,22.6436
Producao de ferro gusa e aco,2020,40.5343
Quimica,2020,12.2889
Refino de petroleo,2020,26.5419
Regeneracao,2020,22.3268
Residencial,2020,27.7038
Residuos agricolas,2020,37.4087
Rodoviario,2020,173.0335
Tratamento e despejo de efluentes domesticos,2020,25.3253
Tratamento e disposicao de dejetos animais,2020,27.3151
Uso em equipamento ou produto,2020,7.2703
Aereo,2021,7.7094
Agropecuaria,2021,20.6281
Aplicacao de residuos organicos,2021,6.1809
Cimento,2021,13.7611
Corretivo agricola,2021,26.0049
Cultivo em sistema irrigado inundado,2021,10.5653
Deposicao de dejetos em pastagem,2021,62.6928
Desmatamento,2021,1415.7357
Disposicao em aterros controlados ou lixoes,2021,14.2598
Disposicao final em aterros sanitarios,2021,46.3467
Exploracao de petroleo e gas natural,2021,22.3028
Ferro gusa e aco,2021,8.3889
Fertilizantes sinteticos nitrogenados,2021,39.0446
Geracao de eletricidade (servico publico),2021,57.8019
Nao ferrosos e outros da metalurgia,2021,8.0839
Outras industrias,2021,5.4826
Outras mudancas de uso da terra,2021,18.6808
Outros,2021,60.6037
Processo de digestao de animais ruminantes,2021,382.5436
Producao de cal,2021,6.1443
Producao de cimento,2021,24.4355
Producao de ferro gusa e aco,2021,46.5418
Quimica,2021,13.7232
Refino de petroleo,2021,25.6252
Regeneracao,2021,19.668
Residencial,2021,27.4321
Residuos agricolas,2021,37.3224
Rodoviario,2021,189.6568
Tratamento e despejo de efluentes domesticos,2021,25.477
Tratamento e disposicao de dejetos animais,2021,27.9748
Uso em equipamento ou produto,2021,7.7209
Aereo,2022,9.5494
Agropecuaria,2022,21.2367
Aplicacao de residuos organicos,2022,6.3864
Cimento,2022,14.363
Corretivo agricola,2022,27.1064
Cultivo em sistema irrigado inundado,2022,10.4523
Deposicao de dejetos em pastagem,2022,65.1276
Desmatamento,2022,1487.9778
Disposicao em aterros controlados ou lixoes,2022,13.6216
Disposicao final em aterros sanitarios,2022,47.3187
Exploracao de petroleo e gas natural,2022,22.5639
Ferro gusa e aco,2022,8.0074
Fertilizantes sinteticos nitrogenados,2022,37.3348
Geracao de eletricidade (servico publico),2022,21.6917
Nao ferrosos e outros da metalurgia,2022,7.6247
Outras industrias,2022,6.6942
Outras mudancas de uso da terra,2022,15.683
Outros,2022,59.6192
Processo de digestao de animais ruminantes,2022,399.1938
Producao de cal,2022,6.1443
Producao de cimento,2022,21.4522
Producao de ferro gusa e aco,2022,43.9845
Quimica,2022,13.7273
Refino de petroleo,2022,25.6898
Regeneracao,2022,18.045
Residencial,2022,27.233
Residuos agricolas,2022,38.0852
Rodoviario,2022,200.6961
Tratamento e despejo de efluentes domesticos,2022,24.1215
Tratamento e disposicao de dejetos animais,2022,28.9195
Uso em equipamento ou produto,2022,8.1715
Aereo,2023,10.0393
Agropecuaria,2023,22.5831
Aplicacao de residuos organicos,2023,6.7789
Cimento,2023,14.4134
Corretivo agricola,2023,29.386
