categoria,ano,emissao_mt
Maranhao,2016,130.0
Mato Grosso,2016,226.0
Mato Grosso do Sul,2016,76.0
Minas Gerais,2016,176.0
Nao Alocado,2016,60.0
Para,2016,375.0
Paraiba,2016,14.0
Parana,2016,79.0
Pernambuco,2016,26.0
Piaui,2016,22.0
Rio Grande do Norte,2016,11.0
Rio Grande do Sul,2016,105.0
Rio de Janeiro,2016,69.0
Rondonia,2016,140.0
Roraima,2016,30.0
Santa Catarina,2016,50.0
Sao Paulo,2016,152.0
Sergipe,2016,9.0
Tocantins,2016,63.0
Acre,2017,36.0
Alagoas,2017,9.0
Amapa,2017,4.0
Amazonas,2017,78.0
Bahia,2017,92.0
Ceara,2017,34.0
Distrito Federal,2017,8.0
Espirito Santo,2017,35.0
Goias,2017,91.0
Maranhao,2017,103.0
Mato Grosso,2017,233.0
Mato Grosso do Sul,2017,74.0
Minas Gerais,2017,171.0
Nao Alocado,2017,66.0
Para,2017,308.0
Paraiba,2017,15.0
Parana,2017,78.0
Pernambuco,2017,26.0
Piaui,2017,24.0
Rio Grande do Norte,2017,12.0
Rio Grande do Sul,2017,108.0
Rio de Janeiro,2017,71.0
Rondonia,2017,132.0
Roraima,2017,23.0
Santa Catarina,2017,50.0
Sao Paulo,2017,155.0
Sergipe,2017,9.0
Tocantins,2017,60.0
Acre,2018,39.0
Alagoas,2018,8.0
Amapa,2018,3.0
Amazonas,2018,76.0
Bahia,2018,92.0
Ceara,2018,33.0
Distrito Federal,2018,7.0
Espirito Santo,2018,34.0
Goias,2018,89.0
Maranhao,2018,104.0
Mato Grosso,2018,238.0
Mato Grosso do Sul,2018,72.0
Minas Gerais,2018,166.0
Nao Alocado,2018,66.0
Para,2018,337.0
Paraiba,2018,15.0
Parana,2018,77.0
Pernambuco,2018,25.0
Piaui,2018,25.0
Rio Grande do Norte,2018,11.0
Rio Grande do Sul,2018,104.0
Rio de Janeiro,2018,68.0
Rondonia,2018,121.0
Roraima,2018,26.0
Santa Catarina,2018,50.0
Sao Paulo,2018,150.0
Sergipe,2018,9.0
Tocantins,2018,59.0
Acre,2019,71.0
Alagoas,2019,9.0
Amapa,2019,4.0
Amazonas,2019,131.0
Bahia,2019,100.0
Ceara,2019,34.0
Distrito Federal,2019,7.0
Espirito Santo,2019,31.0
Goias,2019,93.0
Maranhao,2019,129.0
Mato Grosso,2019,299.0
Mato Grosso do Sul,2019,77.0
Minas Gerais,2019,167.0
Nao Alocado,2019,66.0
Para,2019,467.0
Paraiba,2019,14.0
Parana,2019,80.0
Pernambuco,2019,26.0
Piaui,2019,35.0
Rio Grande do Norte,2019,11.0
Rio Grande do Sul,2019,110.0
Rio de Janeiro,2019,69.0
Rondonia,2019,160.0
Roraima,2019,41.0
Santa Catarina,2019,52.0
Sao Paulo,2019,150.0
Sergipe,2019,9.0
Tocantins,2019,66.0
Acre,2020,71.0
Alagoas,2020,9.0
Amapa,2020,3.0
Amazonas,2020,131.0
Bahia,2020,105.0
Ceara,2020,32.0
Distrito Federal,2020,7.0
Espirito Santo,2020,31.0
Goias,2020,96.0
Maranhao,2020,140.0
Mato Grosso,2020,289.0
Mato Grosso do Sul,2020,79.0
Minas Gerais,2020,169.0
Nao Alocado,2020,61.0
Para,2020,479.0
Paraiba,2020,14.0
Parana,2020,78.0
Pernambuco,2020,24.0
Piaui,2020,36.0
Rio Grande do Norte,2020,11.0
Rio Grande do Sul,2020,100.0
Rio de Janeiro,2020,67.0
Rondonia,2020,155.0
Roraima,2020,26.0
Santa Catarina,2020,49.0
Sao Paulo,2020,146.0
Sergipe,2020,9.0
Tocantins,2020,63.0
Acre,2021,75.0
Alagoas,2021,10.0
Amapa,2021,3.0
Amazonas,2021,188.0
Bahia,2021,114.0
Ceara,2021,37.0
Distrito Federal,2021,7.0
Espirito Santo,2021,34.0
Goias,2021,97.0
Maranhao,2021,128.0
Mato Grosso,2021,282.0
Mato Grosso do Sul,2021,84.0
Minas Gerais,2021,175.0
Nao Alocado,2021,65.0
Para,2021,538.0
Paraiba,2021,15.0
Parana,2021,81.0
Pernambuco,2021,28.0
Piaui,2021,33.0
Rio Grande do Norte,2021,12.0
Rio Grande do Sul,2021,123.0
Rio de Janeiro,2021,74.0
Rondonia,2021,169.0
Roraima,2021,34.0
Santa Catarina,2021,52.0
Sao Paulo,2021,151.0
Sergipe,2021,11.0
Tocantins,2021,59.0
Acre,2022,90.0
Alagoas,2022,10.0
Amapa,2022,7.0
Amazonas,2022,216.0
Bahia,2022,125.0
Ceara,2022,34.0
Distrito Federal,2022,7.0
Espirito Santo,2022,33.0
Goias,2022,98.0
Maranhao,2022,140.0
Mato Grosso,2022,341.0
Mato Grosso do Sul,2022,73.0
Minas Gerais,2022,179.0
Nao Alocado,2022,63.0
Para,2022,491.0
Paraiba,2022,14.0
Parana,2022,79.0
Pernambuco,2022,26.0
Piaui,2022,46.0
Rio Grande do Norte,2022,12.0
Rio Grande do Sul,2022,106.0
Rio de Janeiro,2022,67.0
Rondonia,2022,166.0
Roraima,2022,29.0
Santa Catarina,2022,52.0
Sao Paulo,2022,157.0
Sergipe,2022,10.0
Tocantins,2022,67.0
Acre,2023,51.0
Alagoas,2023,10.0
Amapa,2023,6.0
Amazonas,2023,114.0
Bahia,2023,132.0
Ceara,2023,38.0
Distrito Federal,2023,7.0
Espirito Santo,2023,31.0
Goias,2023,102.0
Maranhao,2023,167.0
Mato Grosso,2023,334.0
Mato Grosso do Sul,2023,84.0
Minas Gerais,2023,179.0
Nao Alocado,2023,61.0
Para,2023,436.0
Paraiba,2023,15.0
Parana,2023,78.0
Pernambuco,2023,27.0
Piaui,2023,45.0
Rio Grande do Norte,2023,12.0
Rio Grande do Sul,2023,98.0
Rio de Janeiro,2023,69.0
Rondonia,2023,144.0
Roraima,2023,31.0
Santa Catarina,2023,48.0
Sao Paulo,2023,155.0
Sergipe,2023,10.0
Tocantins,2023,91.0
